"CID","id","value","groups","modified_by","created_by","created_timestamp","modified_timestamp","comment"
"Parent/Default","3a4e4da92e064e3fa81e0a5d9d737257","**\0220--new kic\KicHost.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","bbd05bd864b147e9abb175154ea063be","**\28092022_BUILD_SB315\28092022_BUILD_SB315.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","a53d7b92174f46f0b496516d1e63586e","**\3dos V2.0\3dos.ssp.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","43e2e003f8814b199a089468e1fa2384","**\835-AOI.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","2b4783e5e4654cd695485a561f5b0f84","**\95599\?????????\EBank2007.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","e91ea60d69ff473fb1d28ddfc29aaa95","**\AOI_REPAIR_DATA\*\DeviceConfigManager.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","72e35111d2504e69abd6eff64bb257c8","**\AirWatch\AirWatch 2302\Supplemental Software\Tools\BranchCacheServerKeyUtility\BranchCacheServerKeyInstaller.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","1bebb3fd4a1743c28acb9f5b88178d24","**\AirWatch\AirWatch 2302\Supplemental Software\Tools\EntitlementServiceMigration\EntitlementServiceMigration.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","f4f9552d520a4e5ea3f58e53efa3330d","**\AppData\Local\Programs\Microsoft VS Code\*.*","","STI.Falcon@fit-foxconn.com","STI.Falcon@fit-foxconn.com",,,
"Parent/Default","365ff1e0edb24bd4b70dbfd8dd8b1381","**\C87Photo.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","c7d5c13a5f4948fea0395f161921677a","**\CEFSimple.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","177dd9ebf7bb465ea8e880a6623e4bd2","**\CFCAUSBKeySetup_XS.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","c147bee12edc49e0a64c94043b516b28","**\CMCDB.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","3c43b4f516b84113a0a0e69945fcfe9d","**\Cadence\LicenseManager\cdslmd.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","05df3d57dce7496eaff299cd61572bbd","**\Cadence\SPB*\tools\bin\allegro.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","54195392ba9c4404b183192e21c65588","**\Cadence\SPB*\tools\bin\allegro_free_viewer.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","ad8b24dabb1f4d78975bf96e2ab4b80a","**\Cadence\SPB*\tools\bin\allegro_free_viewer_classic.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","e450b85acc6f405c91ad13a14ff789bf","**\Cadence\SPB*\tools\bin\cdsMsgServer.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","ca891442baa44227a6329315165ad57d","**\Cadence\SPB*\tools\bin\productServer.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","d3e054451e0848248e36e30a9e20b273","**\CloudMes-EBox-Tape\Update.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","dc6733ede84a4e73abd020292d8f3ed6","**\Code\Debug\JQS_Vision.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","939252fa0c16402eab5f9787db64c48f","**\DAT\release\LiveVersion\manage.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","fff4cad6762c4ce589a0daf6388482cb","**\DataCollector.UI.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","c96b830935fb4c5fae47229156aae0bc","**\DataGetTool\**\DataGetTool.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","dcdf04962acf4704b6a69f86ee518662","**\DataGetTool\*\DataGetTool.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","a9526d652f434c7cb759ab3eb7e0a809","**\HA_SFC.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","9178cfd1335c47e5bdf8e43210fecef6","**\K_GERT_IR_AdvancedInfo_Collection_v1.2.5_velociraptor-v0.7.0-windows-*.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","3af47fe91c144e978ca884f6a2a874bb","**\Scrn.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","53c0510408d541dbb70bc884b948a0fc","**\amberfocus40945-FFCWin*.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","fce393504f9f408fa2b903217ce96867","**\amberfocus40945-FFCWin-1766542659605.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","31ac97d0db9f42a3b0bb476692c72fd5","**\amberfocus40945-FFCWin-176654265960532.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","b9f47b77a02645e9b6627a51a6937c50","**\amberfocus40945-FFCWin-176654265960564.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
"Parent/Default","f6c651b3562546568d9e337d60f1d179","**\app.exe","","api-client-id:81a8f2e2a9d647318c5a330126acc3be","api-client-id:81a8f2e2a9d647318c5a330126acc3be",,,
